OBJECTID,TOID,ROADLABEL,DESCTERM,NATURE,TLRN_DATE,LAST_EDIT_DATE,Shape__Length
774556,4000000030451320,Merantun Way,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,10.7891152677067
774557,4000000030416673,The Avenue,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,22.8801106295027
774558,4000000030240639,The Highway,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,73.4255497383757
774559,4000000030134996,Hammersmith Flyover,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,171.788453105081
774560,4000000030403504,Staines Road,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,29.6403513262047
774561,4000000030237880,Park Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,108.268312743397
774562,4000000030459965,Commercial Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,12.5299642256694
774563,4000000030425151,Hampstead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,29.8131967307598
774564,4000000030099258,Kentish Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,224.87071137821
774565,4000000030314027,Malden Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,78.26981461693
774566,4000000030792918,Croydon Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,9.85914399958403
774567,4000000030120852,Godstone Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,182.456068755579
774568,4000000030133703,West Hill,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,148.92845256657
774569,4000000030206223,Belmont Rise,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,163.589155830404
774570,4000000030415578,Croydon Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,35.0829703554634
774571,5000005181479410,New Bridge Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,13.7525762116739
774572,4000000031005436,Seven Sisters Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,30.3875260171402
774573,4000000030426057,Kingsland High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,25.0798723945182
774574,4000000030100048,Rochester Way Relief Road,A Road,Slip Road,19/04/2017,2022/01/21 15:31:44+00,278.444303261466
774575,4000000030415673,Hastings Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,15.9808022993209
774576,4000000030148570,Rochester Way Relief Road,A Road,Slip Road,19/04/2017,2022/01/21 15:31:44+00,214.732714650891
774577,4000000030350102,Royal Docks Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,58.3497403671895
774578,4000000030214538,Edith Grove,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,85.987098161796
774579,5000005151691344,Camden Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,17.8229745349272
774580,4000000030236611,Stanstead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,73.9999999754364
774581,4000000031264669,Wandsworth Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,5.97500736346835
774582,4000000030144947,Bromley Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,73.8507814751238
774583,5000005222015742,The Parkway,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,130.031681548233
774584,4000000030217202,Westway,Unknown,Slip Road,19/04/2017,2022/01/21 15:31:46+00,85.4889561940262
774585,5000005160360770,Streatham High Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,18.5926640179018
774586,5000005259567062,Cromwell Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,34.4158946661597
774587,4000000030411963,North Circular Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,36.1247837365243
774588,4000000030339935,Poynders Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,42.160997535826
774589,4000000030480462,Wickham Road,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,1.41421356202324
774590,5000005103201800,Croydon Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,12.0720137913387
774591,4000000030074792,North Circular Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,1935.70506703808
774592,4000000030402351,Park Hill,B Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,36.3443586330781
774593,4000000030148547,Blackwall Tunnel Southern Approach,A Road,Slip Road,19/04/2017,2022/01/21 15:31:44+00,150.632001912886
774594,4000000030157060,Southend Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,121.696830039227
774595,4000000030213854,Ram Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,124.829352568087
774596,5000005286307986,Eltham Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:47+00,16.9635497647035
774597,4000000030237189,Peckham High Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,68.6803052934243
774598,4000000030460125,Westhorne Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,10.8166538275947
774599,4000000030317150,Uxbridge Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,44.315399408991
774600,5000005130831177,Cromwell Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,13.9871519787487
774601,4000000031186704,St John's Wood Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,22.2597858645386
774602,5000005133945728,Pentonville Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,35.131145852326
774603,4000000031030570,A20,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,105.524425276125
774604,4000000030458830,A3036,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,15.8816729666442
774605,4000000031293820,The Croydon Flyover,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,57.5190242263822
774606,4000000030426281,Wick Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:43+00,20.1172428036157
774607,4000000030473698,Long Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,3.00000000189175
774608,5000005132685810,Queens Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,38.1637189345006
