X,Y,L
-0.221955704187719,51.3572323454063,n70
-0.220512254097993,51.3574172581747,n71
-0.220351394545509,51.3574389957255,n72
-0.09152206416002,51.4991115656789,n73
-0.091466657222947,51.4990535071213,n74
-0.091290254668882,51.4988971777111,n75
-0.090636843530727,51.4983290007822,n76
0.06207234995877,51.5583864835092,n77
0.06143869854938,51.5587303485914,n78
0.060932339276192,51.5590180180279,n79
0.060511248369732,51.5592772096325,n80
0.060217050452469,51.5594712226587,n81
0.059783159754075,51.5597666070885,n82
0.059280837942005,51.5601441251688,n83
0.058987846878746,51.5603650918843,n84
0.058626425535677,51.5606681927318,n85
0.058293831602507,51.5609707866833,n86
0.058058900873573,51.5611997250585,n87
0.057687117475969,51.5615749461032,n88
0.057424148583605,51.5618403456085,n89
0.056679722441282,51.5626087826457,n90
0.056114646220842,51.5632211962719,n91
0.055524243415853,51.5638610287617,n92
0.0545072048704,51.5649849413102,n93
0.053300008733115,51.5663729599066,n94
0.052660062790046,51.5671604674323,n95
0.052260903403663,51.5676501133187,n96
0.051646468272096,51.5684252354476,n97
0.051156118736276,51.5690722877045,n98
0.050964771946762,51.5693094418201,n99
0.05036228605379,51.570030391908,n100
0.049935912592173,51.5704964675243,n101
0.04965965486481,51.5707710734627,n102
0.049258873230048,51.5711647581619,n103
0.049092710051785,51.5713205352798,n104
0.048536939326458,51.5717978578936,n105
0.048049620676631,51.5721930490855,n106
-0.182994301529596,51.4140704645137,n107
-0.182936101269501,51.4140875473576,n108
-0.182921729370036,51.4140873245283,n109
-0.182892629221478,51.4140958659356,n110
-0.182835141615673,51.4140949745864,n111
0.135884831067504,51.3466583297572,n112
0.135840115624194,51.3466231729699,n113
0.135781470049007,51.3465972632732,n114
0.135641118501996,51.3465683379879,n115
0.135463306980584,51.3465491066357,n116
0.135405914939885,51.3465501531001,n117
0.135291130848131,51.3465522459447,n118
0.135191112458808,51.3465630625439,n119
0.134805804067176,51.3466150520082,n120
0.13479145603059,51.3466153135467,n121
0.134020836482401,51.3467192886068,n122
0.133463685826355,51.3467816801209,n123
0.133349398069601,51.3467944727555,n124
