from_node_id,to_node_id,Weight
n310,n311,0.18988753038534345
n311,n310,0.18988753038534345
n311,n312,8.147726846129721e-05
n312,n311,8.147726846129721e-05
n312,n313,8.004597312275844e-05
n313,n312,8.004597312275844e-05
n313,n314,9.341235495508257e-05
n314,n313,9.341235495508257e-05
n314,n315,1.1688747803119253e-05
n315,n314,1.1688747803119253e-05
n315,n316,0.10320446900636034
n316,n315,0.10320446900636034
n316,n317,0.0002348596249512788
n317,n316,0.0002348596249512788
n317,n318,0.00011772853390308928
n318,n317,0.00011772853390308928
n318,n319,0.00015130801693134406
n319,n318,0.00015130801693134406
n319,n320,0.0001310292860806124
n320,n319,0.0001310292860806124
n320,n321,0.15372566816318087
n321,n320,0.15372566816318087
n321,n322,6.344014685834363e-05
n322,n321,6.344014685834363e-05
n322,n323,5.141482111508156e-05
n323,n322,5.141482111508156e-05
n323,n324,0.0001000863136631107
n324,n323,0.0001000863136631107
n324,n325,0.0003329120920359246
n325,n324,0.0003329120920359246
n325,n326,0.14324781174736068
n326,n325,0.14324781174736068
n326,n327,0.00011529636204529635
n327,n326,0.00011529636204529635
n327,n328,8.636627308011534e-05
n328,n327,8.636627308011534e-05
n328,n329,7.68135997642635e-05
n329,n328,7.68135997642635e-05
n329,n330,0.0001327908721673306
n330,n329,0.0001327908721673306
n330,n331,0.04629068347358095
n331,n330,0.04629068347358095
n331,n332,6.992777882124333e-05
n332,n331,6.992777882124333e-05
n332,n333,8.931369670821894e-06
n333,n332,8.931369670821894e-06
n333,n334,6.834197908833425e-05
n334,n333,6.834197908833425e-05
n334,n335,1.3521172118258148e-06
n335,n334,1.3521172118258148e-06
n335,n336,5.797986044995653e-05
n336,n335,5.797986044995653e-05
n336,n337,0.127866767641603
n337,n336,0.127866767641603
n337,n338,6.995651076174168e-05
n338,n337,6.995651076174168e-05
n338,n339,0.00030074135151465624
n339,n338,0.00030074135151465624
n339,n340,0.0001295639816130875
n340,n339,0.0001295639816130875
n340,n341,0.00018048957322005181
n341,n340,0.00018048957322005181
n341,n342,0.00031222333442568905
n342,n341,0.00031222333442568905
n342,n343,9.49165025374798e-05
n343,n342,9.49165025374798e-05
n343,n344,0.14230146407257746
n344,n343,0.14230146407257746
n344,n345,6.074154475620845e-05
n345,n344,6.074154475620845e-05
n345,n346,9.675036578690802e-06
n346,n345,9.675036578690802e-06
n346,n347,8.037167981695102e-05
n347,n346,8.037167981695102e-05
n347,n348,4.144597393722607e-06
n348,n347,4.144597393722607e-06
n348,n349,7.186842410582406e-05
n349,n348,7.186842410582406e-05
n349,n350,0.08416857059473593
n350,n349,0.08416857059473593
n350,n351,0.00014694919786684675
n351,n350,0.00014694919786684675
n351,n352,2.7992909646998448e-05
n352,n351,2.7992909646998448e-05
n352,n353,3.808802201475413e-05
n353,n352,3.808802201475413e-05
n353,n354,4.937902715232131e-05
n354,n353,4.937902715232131e-05
n354,n355,0.11152740350826613
n355,n354,0.11152740350826613
n355,n356,6.715201882513177e-05
n356,n355,6.715201882513177e-05
n356,n357,2.206180770287825e-05
n357,n356,2.206180770287825e-05
n357,n358,7.443961820129003e-05
n358,n357,7.443961820129003e-05
n358,n359,1.5258523778901445e-05
n359,n358,1.5258523778901445e-05
n359,n360,6.445199369088477e-05
n360,n359,6.445199369088477e-05
n360,n361,0.11710856802056409
n361,n360,0.11710856802056409
n361,n362,0.0008895856197782497
n362,n361,0.0008895856197782497
n362,n363,9.348375855925042e-05
n363,n362,9.348375855925042e-05
n363,n364,0.0006404250348253362
n364,n363,0.0006404250348253362
n364,n365,0.00012113589262692192
n365,n364,0.00012113589262692192
n365,n366,0.00013530344935660653
n366,n365,0.00013530344935660653
n366,n367,0.12146794176438595
n367,n366,0.12146794176438595
n367,n368,8.8987534611926e-05
n368,n367,8.8987534611926e-05
n368,n369,0.00023902148873694457
n369,n368,0.00023902148873694457
n369,n370,5.3095516067634114e-05
n370,n369,5.3095516067634114e-05
n370,n371,0.1343892819729625
n371,n370,0.1343892819729625
n371,n372,7.090026414508459e-05
n372,n371,7.090026414508459e-05
n372,n373,0.00016294806783463122
n373,n372,0.00016294806783463122
n373,n374,0.0002753354117578432
n374,n373,0.0002753354117578432
n374,n375,0.1787896574573627
n375,n374,0.1787896574573627
n375,n376,0.0002622028493607547
n376,n375,0.0002622028493607547
n376,n377,0.20207637554633834
n377,n376,0.20207637554633834
n377,n378,0.000604391470915644
n378,n377,0.000604391470915644
n378,n379,0.20498399760271363
n379,n378,0.20498399760271363
n379,n380,8.66827030287724e-05
n380,n379,8.66827030287724e-05
n380,n381,4.3918336911854645e-05
n381,n380,4.3918336911854645e-05
n381,n382,6.953809097688099e-05
n382,n381,6.953809097688099e-05
n382,n383,3.9583321735813085e-05
n383,n382,3.9583321735813085e-05
n383,n384,5.089027258260918e-05
n384,n383,5.089027258260918e-05
n384,n385,0.1525887763816634
n385,n384,0.1525887763816634
n385,n386,0.0005373936452164945
n386,n385,0.0005373936452164945
n386,n387,0.15963380310349432
n387,n386,0.15963380310349432
n387,n388,5.820280079784815e-05
n388,n387,5.820280079784815e-05
n388,n389,0.0002217713861439726
n389,n388,0.0002217713861439726
n389,n390,0.0001663599800569829
n390,n389,0.0001663599800569829
n390,n391,0.2631606174352199
n391,n390,0.2631606174352199
n391,n392,5.4299769319853925e-05
n392,n391,5.4299769319853925e-05
n392,n393,2.5308563147079156e-05
n393,n392,2.5308563147079156e-05
n393,n394,3.690197189986102e-05
n394,n393,3.690197189986102e-05
n394,n395,5.2115826181112406e-05
n395,n394,5.2115826181112406e-05
n395,n396,3.149792132187644e-05
n396,n395,3.149792132187644e-05
n396,n397,5.375001178289747e-05
n397,n396,5.375001178289747e-05
n397,n398,0.28784540088750016
n398,n397,0.28784540088750016
n398,n399,0.00015797152685801273
n399,n398,0.00015797152685801273
n399,n400,0.13248728816752786
n400,n399,0.13248728816752786
n400,n401,9.2243477196005e-05
n401,n400,9.2243477196005e-05
n401,n402,0.0005453947043779505
n402,n401,0.0005453947043779505
n402,n403,0.0003236202006740228
n403,n402,0.0003236202006740228
n403,n404,1.5749443451314035e-05
n404,n403,1.5749443451314035e-05
n404,n405,0.0006375489940989466
n405,n404,0.0006375489940989466
n405,n406,0.00020387702204344182
n406,n405,0.00020387702204344182
n406,n407,0.0006426627629517546
n407,n406,0.0006426627629517546
n407,n408,0.00024221092616258955
n408,n407,0.00024221092616258955
n408,n409,0.00020541961553746833
n409,n408,0.00020541961553746833
n409,n410,0.00013169693892049663
n410,n409,0.00013169693892049663
n410,n411,0.00012121220295541992
n411,n410,0.00012121220295541992
n411,n412,0.0002210810483497465
n412,n411,0.0002210810483497465
n412,n413,0.08865773380598618
n413,n412,0.08865773380598618
n413,n414,0.00012981286867037433
n414,n413,0.00012981286867037433
n414,n415,0.00021759031065669273
n415,n414,0.00021759031065669273
n415,n416,0.0002487974515861552
n416,n415,0.0002487974515861552
n416,n417,0.0002504966525480721
n417,n416,0.0002504966525480721
n417,n418,0.00023843423522799581
n418,n417,0.00023843423522799581
n418,n419,0.00021315292790109587
n419,n418,0.00021315292790109587
n419,n420,8.533872584941737e-05
n420,n419,8.533872584941737e-05
n420,n421,0.00019173480250797882
n421,n420,0.00019173480250797882
n421,n422,0.0002499621663481332
n422,n421,0.0002499621663481332
n422,n423,0.10635785943114662
n423,n422,0.10635785943114662
n423,n424,5.441493551365101e-05
n424,n423,5.441493551365101e-05
n424,n425,0.00012307559877593633
n425,n424,0.00012307559877593633
n425,n426,0.000576845570879409
n426,n425,0.000576845570879409
n426,n427,0.0003601195355115046
n427,n426,0.0003601195355115046
n427,n428,8.9838399470827e-05
n428,n427,8.9838399470827e-05
n428,n429,0.0005403585571484385
n429,n428,0.0005403585571484385
n429,n430,0.0006961660778772001
n430,n429,0.0006961660778772001
n430,n431,0.0002659416728672172
n431,n430,0.0002659416728672172
